Date,Description,Amount,Balance
01/06/2026,SALARY ACME PTY LTD PAYROLL,4200.00,5200.00
01/06/2026,OSKO PAYMENT TO OFFSET 5,-3000.00,2200.00
02/06/2026,WOOLWORTHS BEAUDESERT QLD,-87.45,2112.55
02/06/2026,COFFEE CLUB BROWNS PLAINS,-6.50,2106.05
02/06/2026,COFFEE CLUB BROWNS PLAINS,-6.50,2099.55
03/06/2026,BP CONTACTLESS FUEL,-72.10,2027.45
05/06/2026,NETFLIX.COM,-16.99,2010.46
07/06/2026,TRANSFER TO HOUSE OFFSET,-500.00,1510.46
08/06/2026,CHEMIST WAREHOUSE,-34.20,1476.26
10/06/2026,CREDIT CARD PAYMENT ING,-450.00,1026.26
12/06/2026,UBER EATS HELP.UBER.COM,-28.90,997.36
14/06/2026,OSKO PAYMENT TO BILLS,-200.00,797.36
15/06/2026,ATM WITHDRAWAL QCB,-100.00,697.36
18/06/2026,COLES 0456,-112.30,585.06
20/06/2026,TFR TO CHANTELLE DAILY,-150.00,435.06
22/06/2026,ORIGIN ENERGY ELECTRICITY,-189.40,245.66
25/06/2026,DIRECT DEBIT MORTGAGE LOAN,-2100.00,-1854.34
28/06/2026,BUNNINGS WAREHOUSE,-64.80,-1919.14
30/06/2026,REFUND KMART ONLINE,29.95,-1889.19
